mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08312544822692872,0.01677248594830499,0.0343900203704834,0.013698864112452677,10,2,10,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-2.5656433789764987,-0.9687052936735903,0.017402825878590433,0.2176173578797136,-1.1293593583680832,-0.8857375694519736,0.9921061855987402,54
0.12631611824035643,0.017500069420387166,0.03868093490600586,0.012432048785949666,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-1.8447107630061588,-0.898588096692434,0.032079506687941906,0.23704273835902567,-1.4542199623724192,-0.7856793154048088,0.8119030098372314,42
0.2331268310546875,0.011593816654750823,0.03591551780700684,0.014269581136082095,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-1.6299538221131749,-0.7690220308649085,0.033767176742049876,0.2545519889118846,-1.5694431114986278,-0.7360199597645554,0.7834036070675788,37
0.08008575439453125,0.01645926890813653,0.04170370101928711,0.01998688489010612,10,4,2,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-1.781941346688979,-0.877898058025486,0.03513275446322661,0.29476280547978373,-1.2894353338161175,-0.7238758357175146,0.7844490726197553,27
0.11194353103637696,0.004089927673339843,0.028638362884521484,0.0064389979211512405,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-1.3862489204670285,-0.8455026637002474,0.04077612885943516,0.2632652657682897,-1.6322521867338926,-0.7119924752546887,0.7532745706136782,14
0.2211061477661133,0.018072474550966264,0.039200639724731444,0.005841661364388242,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-1.3871839997027862,-0.7947826864632233,0.04309379020922366,0.28653950846630516,-1.7487035648268359,-0.7202073904634633,0.7879583318484491,21
0.0794595718383789,0.007279997672322619,0.033388519287109376,0.013577882536020115,10,4,5,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-1.781941346688979,-0.877898058025486,0.03513275446322661,0.29476280547978384,-1.289435333816118,-0.7238758357175146,0.7844490726197555,27
0.12295751571655274,0.01685600716920846,0.03606748580932617,0.009469377111808184,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-1.3862489204670285,-0.845502663700247,0.04077612885943516,0.2632652657682897,-1.6322521867338922,-0.7119924752546886,0.7532745706136781,13
0.218589448928833,0.02952797840906798,0.04600205421447754,0.008386426398294261,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-1.3871839997027857,-0.7947826864632233,0.04309379020922366,0.28653950846630516,-1.7487035648268359,-0.7202073904634633,0.787958331848449,21
0.07303004264831543,0.0037470430697297183,0.03201394081115723,0.010227229364602925,10,4,10,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-1.7150347667062533,-0.9530843283109864,0.017445294599929495,0.25771169098876867,-1.1284168286583753,-0.7042757876173834,0.7361706671605631,9
0.11518545150756836,0.0069548400136237665,0.03843541145324707,0.019063512632525356,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-1.290991635384926,-0.8630657553785428,0.02617131732804434,0.25559940513331203,-1.4138205288457977,-0.657221439429582,0.6806976245077576,5
